	ARTICLE	ARTICLE DATE	NUM SENTENCES
12	PMC4448820	5/2015	4
9	PMC4329404	10/2014	3
7	PMC4258799	11/2014	2
13	PMC4499946	7/2015	1
22	PMC5956785	5/2018	1
21	PMC5827025	2/2018	1
20	PMC5539754	8/2017	1
19	PMC5513133	7/2017	1
18	PMC5372327	3/2017	1
17	PMC5351212	3/2017	1
16	PMC5310660	1/2017	1
15	PMC4969253	8/2016	1
14	PMC4632418	10/2015	1
0	PMC3034879	12/2010	1
1	PMC3458940	9/2012	1
11	PMC4427001	4/2015	1
10	PMC4417995	4/2015	1
8	PMC4302429	1/2015	1
6	PMC4251419	12/2014	1
5	PMC4113768	7/2014	1
4	PMC3717170	5/2013	1
3	PMC3713405	7/2013	1
2	PMC3651971	5/2013	1
23	PMC6011374	6/2018	1
