	ARTICLE	ARTICLE DATE	NUM SENTENCES
7	PMC4113768	7/2014	5
15	PMC5418719	5/2017	4
8	PMC4169453	9/2014	3
22	PMC6011374	6/2018	2
13	PMC4859539	5/2016	2
21	PMC5941617	5/2018	2
17	PMC5659607	10/2017	2
16	PMC5524288	7/2017	2
20	PMC5827025	2/2018	1
19	PMC5732505	12/2017	1
18	PMC5685050	10/2014	1
14	PMC4934634	11/2015	1
0	PMC2963768	10/2010	1
12	PMC4719746	1/2016	1
1	PMC3004407	12/2010	1
10	PMC4499946	7/2015	1
9	PMC4231606	10/2013	1
6	PMC3873449	12/2013	1
5	PMC3717170	5/2013	1
4	PMC3702245	6/2013	1
3	PMC3347028	3/2012	1
2	PMC3271033	1/2012	1
11	PMC4632418	10/2015	1
