	ARTICLE	ARTICLE DATE	NUM SENTENCES
0	PMC2996405	11/2010	6
10	PMC4448820	5/2015	2
12	PMC4934634	11/2015	2
1	PMC3277098	12/2011	2
11	PMC4785305	3/2016	2
3	PMC3471827	10/2012	2
5	PMC3705146	5/2013	1
14	PMC4989298	8/2016	1
20	PMC5956785	5/2018	1
19	PMC5952272	5/2018	1
18	PMC5351212	3/2017	1
17	PMC5310660	1/2017	1
16	PMC5064894	10/2016	1
15	PMC5062906	10/2016	1
13	PMC4979151	8/2016	1
6	PMC4045304	2/2014	1
2	PMC3458940	9/2012	1
4	PMC3613945	2/2013	1
9	PMC4417995	4/2015	1
8	PMC4329404	10/2014	1
7	PMC4251419	12/2014	1
21	PMC6039335	7/2018	1
